      | Z |  B | C |  N |  O | T |  W |  Y |   # |  ' |  ( |   ) |  * |  , | and | as | asc | char | create | desc | from | id | index | int | num | on | or |  r | select | table | varchar | view | where |
   41 |   |    |   |    |    |   |    |    |     |    |    |     |    | 46 |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |   -19 |
   42 |   |    |   |    |    |   |    |    |     |    |    |     |    |    |     |    |     |      |        |      |  -15 |    |       |     |     |    |    |    |        |       |         |      |       |
   43 |   |    |   |    |    |   |    |    |     |    |    |  -8 |    | 47 |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
   44 |   |    |   |    |    |   |    |    |     |    |    | -12 |    | 48 |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
   45 |   |    |   |    |    |   | 50 |    |     |    | 49 |     |    |    |     |    |     |      |        |      |      | 51 |       |     |     |    |    |    |        |       |         |      |       |
   46 |   |    |   | 52 |    |   |    |    |     |    |    |     |    |    |     |    |     |      |        |      |      | 41 |       |     |     |    |    |    |        |       |         |      |       |
   47 |   |    |   |    |    |   |    | 53 |     |    |    |     |    |    |     |    |     |      |        |      |      | 15 |       |     |     |    |    |    |        |       |         |      |       |
   48 |   |    |   |    |    |   |    | 54 |     |    |    |     |    |    |     |    |     |      |        |      |      | 15 |       |     |     |    |    |    |        |       |         |      |       |
   49 |   |    |   |    |    |   | 55 |    |     |    | 49 |     |    |    |     |    |     |      |        |      |      | 51 |       |     |     |    |    |    |        |       |         |      |       |
   50 |   |    |   |    |    |   |    |    |  -4 |    |    |     |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
   51 |   |    |   |    |    |   |    |    |     |    |    |     |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    | 56 |        |       |         |      |       |
   52 |   |    |   |    |    |   |    |    |     |    |    |     |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |   -18 |
   53 |   |    |   |    |    |   |    |    |     |    |    |  -7 |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
   54 |   |    |   |    |    |   |    |    |     |    |    | -11 |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
   55 |   |    |   |    |    |   |    |    |     |    |    |  57 |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
   56 |   |    |   |    |    |   |    |    |     | 58 |    |     |    |    |     |    |     |      |        |      |      | 59 |       |     |  60 |    |    |    |        |       |         |      |       |
   57 |   |    |   |    |    |   |    |    | -20 |    |    | -20 |    |    |  61 |    |     |      |        |      |      |    |       |     |     |    | 62 |    |        |       |         |      |       |
   58 |   |    |   |    |    |   |    |    |     |    |    |     |    |    |     |    |     |      |        |      |      | 63 |       |     |     |    |    |    |        |       |         |      |       |
   59 |   |    |   |    |    |   |    |    | -29 |    |    | -29 |    |    |  64 |    |     |      |        |      |      |    |       |     |     |    | 65 |    |        |       |         |      |       |
   60 |   |    |   |    |    |   |    |    | -28 |    |    | -28 |    |    |  66 |    |     |      |        |      |      |    |       |     |     |    | 67 |    |        |       |         |      |       |
   61 |   |    |   |    |    |   | 68 |    |     |    | 49 |     |    |    |     |    |     |      |        |      |      | 51 |       |     |     |    |    |    |        |       |         |      |       |
   62 |   |    |   |    |    |   | 69 |    |     |    | 49 |     |    |    |     |    |     |      |        |      |      | 51 |       |     |     |    |    |    |        |       |         |      |       |
   63 |   |    |   |    |    |   |    |    |     | 70 |    |     |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
   64 |   |    |   |    |    |   | 71 |    |     |    | 49 |     |    |    |     |    |     |      |        |      |      | 51 |       |     |     |    |    |    |        |       |         |      |       |
   65 |   |    |   |    |    |   | 72 |    |     |    | 49 |     |    |    |     |    |     |      |        |      |      | 51 |       |     |     |    |    |    |        |       |         |      |       |
   66 |   |    |   |    |    |   | 73 |    |     |    | 49 |     |    |    |     |    |     |      |        |      |      | 51 |       |     |     |    |    |    |        |       |         |      |       |
   67 |   |    |   |    |    |   | 74 |    |     |    | 49 |     |    |    |     |    |     |      |        |      |      | 51 |       |     |     |    |    |    |        |       |         |      |       |
   68 |   |    |   |    |    |   |    |    | -21 |    |    | -21 |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
   69 |   |    |   |    |    |   |    |    | -22 |    |    | -22 |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
   70 |   |    |   |    |    |   |    |    | -27 |    |    | -27 |    |    |  75 |    |     |      |        |      |      |    |       |     |     |    | 76 |    |        |       |         |      |       |
   71 |   |    |   |    |    |   |    |    | -30 |    |    | -30 |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
   72 |   |    |   |    |    |   |    |    | -31 |    |    | -31 |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
   73 |   |    |   |    |    |   |    |    | -25 |    |    | -25 |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
   74 |   |    |   |    |    |   |    |    | -26 |    |    | -26 |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
   75 |   |    |   |    |    |   | 77 |    |     |    | 49 |     |    |    |     |    |     |      |        |      |      | 51 |       |     |     |    |    |    |        |       |         |      |       |
   76 |   |    |   |    |    |   | 78 |    |     |    | 49 |     |    |    |     |    |     |      |        |      |      | 51 |       |     |     |    |    |    |        |       |         |      |       |
   77 |   |    |   |    |    |   |    |    | -23 |    |    | -23 |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
   78 |   |    |   |    |    |   |    |    | -24 |    |    | -24 |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
